blind_index,invite_code,participant_id,round,json_file,session_id,story_id,selected_model,rating,form_version,feedback_created_at,dialogue_count,story_relevance,story_coherence,story_empathy,story_surprise,story_engagement,story_complexity,character_shaping,ux_story_satisfaction,ux_perceived_story_quality,ux_process_engagement,ux_use_again_intent,comment
5,X37W-4V2T,blind-05,3,blind-05_X37W-4V2T/round-03.json,session-8e7e883a-5a57-4e84-8dc2-0f456ee4eae5,159c20de-57ab-4e6f-8608-2865654ae62f,qwen/qwen3.5-397b-a17b,3,benchmark_emotional_human_v4,2026-05-03T08:34:46.747165,54,3,4,3,3,3,3,4,3,4,4,5,
5,X37W-4V2T,blind-05,4,blind-05_X37W-4V2T/round-04.json,session-d800a1eb-23f8-4bf7-8e72-869fa2486966,7a09eaac-1ce9-4f83-95f3-5486f5c185e8,doubao/seed-2.0-pro,3,benchmark_emotional_human_v4,2026-05-03T09:04:42.008005,51,3,3,4,3,3,3,4,3,4,4,5,
7,NCN7-CV5X,blind-07,1,blind-07_NCN7-CV5X/round-01.json,session-32cc9bc5-d5a1-4f51-8805-9b01aaa18f62,15c266bc-6eaa-42eb-980c-884efcc73046,qwen/qwen3.5-397b-a17b,4,benchmark_emotional_human_v4,2026-04-30T01:41:32.276714,46,2,3,3,5,4,5,4,4,5,5,5,
7,NCN7-CV5X,blind-07,2,blind-07_NCN7-CV5X/round-02.json,session-640905af-92a9-44a0-abb2-a1296b1f4bdd,462c3e75-c05f-490c-994a-501fd5e8fd96,doubao/seed-2.0-pro,4,benchmark_emotional_human_v4,2026-04-30T15:08:52.024575,46,4,3,4,4,3,3,5,4,3,4,5,
7,NCN7-CV5X,blind-07,3,blind-07_NCN7-CV5X/round-03.json,session-77a10486-e4db-41cb-aa8d-1222a6138836,300d1fc9-5fb3-45e5-8baf-e42a7ad66735,openai/gpt-5.4,3,benchmark_emotional_human_v4,2026-05-01T05:44:46.386883,43,3,3,5,3,3,4,3,4,4,5,5,
7,NCN7-CV5X,blind-07,4,blind-07_NCN7-CV5X/round-04.json,session-f0390f60-c8cb-4be5-9b92-ea82181650c1,e5dae9b9-9d8f-441b-9d57-6d9392251bc2,anthropic/claude-opus-4.6,4,benchmark_emotional_human_v4,2026-05-03T06:05:23.049060,44,4,4,3,4,4,4,4,5,4,4,5,
8,GHWA-RP7E,blind-08,1,blind-08_GHWA-RP7E/round-01.json,session-579d6878-e852-4f4b-b7da-a1a85998628f,066ee5cc-a5dc-46ab-8383-086ff22fe2cb,doubao/seed-2.0-pro,4,benchmark_emotional_human_v4,2026-05-01T06:43:15.419867,47,4,3,4,3,4,5,3,4,4,4,5,
8,GHWA-RP7E,blind-08,2,blind-08_GHWA-RP7E/round-02.json,session-816d4a2b-6fcd-4077-b23c-ce01b36f3c8d,f26744c9-b0e7-47cf-8aa8-398fef753620,openai/gpt-5.4,4,benchmark_emotional_human_v4,2026-05-01T14:11:16.739423,38,3,4,4,5,3,3,3,4,3,5,5,
8,GHWA-RP7E,blind-08,3,blind-08_GHWA-RP7E/round-03.json,session-15d40037-eed7-4111-a0b8-fdaefebb5420,105b9aa8-9546-4c0b-b25c-856ff759c0ca,anthropic/claude-opus-4.6,4,benchmark_emotional_human_v4,2026-05-02T12:17:46.813297,38,4,3,4,3,3,5,4,4,4,4,5,
8,GHWA-RP7E,blind-08,4,blind-08_GHWA-RP7E/round-04.json,session-ce9de543-bc3f-47e8-bee5-d47fbb74c7cc,e34e8362-1fff-4900-8be8-58b667900a7d,anthropic/claude-sonnet-4.6,4,benchmark_emotional_human_v4,2026-05-02T12:45:50.169613,39,4,4,3,3,3,4,4,4,5,4,5,
9,U7UP-PH79,blind-09,1,blind-09_U7UP-PH79/round-01.json,session-430823e3-f6ad-47f1-b92d-3604481c57a1,1c548608-660c-478b-a8e7-d07a282bcd2f,openai/gpt-5.4,4,benchmark_emotional_human_v4,2026-05-02T12:59:45.788680,43,3,5,4,5,4,4,4,5,4,4,5,
9,U7UP-PH79,blind-09,2,blind-09_U7UP-PH79/round-02.json,session-0fd41eb8-bdf3-4e42-80ab-2b4514265bd6,a988ad9d-ef01-4503-ad24-192db57afc5d,anthropic/claude-opus-4.6,4,benchmark_emotional_human_v4,2026-05-02T13:31:01.213592,35,4,4,3,5,4,4,5,5,4,5,5,
9,U7UP-PH79,blind-09,3,blind-09_U7UP-PH79/round-03.json,session-c0bb7d5f-a894-40bc-b68a-3404feebf525,3f7cff41-0bff-45eb-8dc0-a70a6cd28766,anthropic/claude-sonnet-4.6,4,benchmark_emotional_human_v4,2026-05-02T13:57:02.745097,40,4,4,5,4,5,5,4,5,5,4,5,
9,U7UP-PH79,blind-09,4,blind-09_U7UP-PH79/round-04.json,session-4e425e95-0fa6-41ae-ab93-c5dad0a14de7,1afaf356-3550-466f-902b-ddcd70bdb51b,google/gemini-3.1-pro-preview,4,benchmark_emotional_human_v4,2026-05-02T14:30:56.904953,45,3,4,4,4,3,4,5,5,4,5,5,
10,R5FM-JJYF,blind-10,1,blind-10_R5FM-JJYF/round-01.json,session-4345401a-a299-4090-8936-65d62cee8e6a,d2a8c1b2-c4c2-4342-b08c-f1eb5f7c124a,anthropic/claude-opus-4.6,4,benchmark_emotional_human_v4,2026-05-02T15:05:26.149432,39,4,3,4,4,4,3,4,5,4,4,5,
10,R5FM-JJYF,blind-10,2,blind-10_R5FM-JJYF/round-02.json,session-12a99fec-f5dc-4bf6-a74b-332c527865e5,d50a6581-fd8a-4bac-812b-8528c1be2465,anthropic/claude-sonnet-4.6,4,benchmark_emotional_human_v4,2026-05-02T15:32:28.009574,44,4,4,5,4,5,3,4,3,4,3,5,
10,R5FM-JJYF,blind-10,3,blind-10_R5FM-JJYF/round-03.json,session-18aa7646-800e-4a4e-82c2-01390aebf5b5,b9c60d38-7b99-40a9-8064-4105e381c93f,google/gemini-3.1-pro-preview,4,benchmark_emotional_human_v4,2026-05-02T16:10:16.006917,45,4,3,4,4,5,4,3,4,4,3,5,
10,R5FM-JJYF,blind-10,4,blind-10_R5FM-JJYF/round-04.json,session-70701899-fd50-443f-b74f-cde067a98baf,568ab4b0-93fe-4581-863b-e59d7bc296fc,deepseek/deepseek-v3.2,4,benchmark_emotional_human_v4,2026-05-02T16:44:14.768094,52,4,4,5,5,3,3,3,4,4,4,5,"In this story, the engagement of dad is VERY LOW"
14,48FD-86AY,blind-14,1,blind-14_48FD-86AY/round-01.json,session-b7dca91b-892d-444b-aa91-e14bb2aa75da,7c8f8c5c-5959-4d85-8777-d4c1604432a3,z-ai/glm-5,3,benchmark_emotional_human_v4,2026-05-03T08:04:45.926563,110,2,2,2,4,2,3,3,2,4,3,3,
14,48FD-86AY,blind-14,2,blind-14_48FD-86AY/round-02.json,session-88a4c18a-6630-4fde-bd4d-f12f915c94a9,,qwen/qwen3.5-397b-a17b,4,benchmark_emotional_human_v4,2026-05-03T10:42:35.401588,0,4,4,3,4,4,3,4,4,4,5,5,
14,48FD-86AY,blind-14,3,blind-14_48FD-86AY/round-03.json,session-2264441d-3750-4bcd-9147-7edafdb7f9af,07f7067f-9ce3-433f-b400-f9c969c89644,doubao/seed-2.0-pro,4,benchmark_emotional_human_v4,2026-05-03T15:34:28.622932,50,5,4,5,3,4,4,4,4,5,4,5,
14,48FD-86AY,blind-14,4,blind-14_48FD-86AY/round-04.json,session-0265121b-aca1-4f9a-baad-24d9d58a4279,44cb668d-1ecb-4f4b-aa88-3a81f24e75c4,openai/gpt-5.4,4,benchmark_emotional_human_v4,2026-05-03T15:56:59.363801,51,4,3,5,4,3,4,3,5,4,4,5,
17,33SE-2TQ6,blind-17,1,blind-17_33SE-2TQ6/round-01.json,session-5e7b4c9d-7028-4fb1-92d6-83340b5e2591,1ed304bf-88a5-44d8-99b4-b9f161af56e4,openai/gpt-5.4,3,benchmark_emotional_human_v4,2026-05-02T17:12:22.695289,36,3,3,4,3,2,3,2,3,4,2,3,
17,33SE-2TQ6,blind-17,2,blind-17_33SE-2TQ6/round-02.json,session-6d3c9427-20e6-4535-9c52-b33fd2718ab4,4e526c33-1173-428a-b7a8-5b325ccf4b7d,anthropic/claude-sonnet-4.6,3,benchmark_emotional_human_v4,2026-05-03T09:03:14.177558,30,3,3,3,4,2,4,3,3,3,2,5,
17,33SE-2TQ6,blind-17,3,blind-17_33SE-2TQ6/round-03.json,session-8a7af6e6-dd01-49f7-9c43-a742961de0b0,785af1ff-1bd8-4608-987c-de080143aaef,deepseek/deepseek-v3.2,2,benchmark_emotional_human_v4,2026-05-03T09:54:31.907819,43,3,3,2,3,2,2,2,3,2,2,3,
17,33SE-2TQ6,blind-17,4,blind-17_33SE-2TQ6/round-04.json,session-1bb623a0-09e0-467c-8ba8-181d83409602,3603f754-a3c2-47a7-8dc7-35db150af029,qwen/qwen3.5-397b-a17b,3,benchmark_emotional_human_v4,2026-05-03T10:08:52.639988,46,3,2,3,3,2,3,2,3,4,2,3,
18,VJ2Y-8NFF,blind-18,1,blind-18_VJ2Y-8NFF/round-01.json,session-35819f9e-692f-48f9-ad1f-47df46394108,7f6ab595-a37c-4f0b-9848-b2e5c66391b6,anthropic/claude-opus-4.6,3,benchmark_emotional_human_v4,2026-05-03T11:13:03.152658,36,2,2,3,3,2,3,3,3,3,3,3,
18,VJ2Y-8NFF,blind-18,2,blind-18_VJ2Y-8NFF/round-02.json,session-9d295492-81bc-47fa-a810-71c662c12d3f,ba44c739-6a59-4971-bc30-bd3b9f96a319,google/gemini-3.1-pro-preview,3,benchmark_emotional_human_v4,2026-05-03T11:30:02.118051,41,3,3,3,2,3,2,3,3,4,2,3,
18,VJ2Y-8NFF,blind-18,3,blind-18_VJ2Y-8NFF/round-03.json,session-4a6dc32a-549b-406f-9d03-f3081782ed83,3ed03404-61dd-40e8-a562-c24c2e5a5b75,z-ai/glm-5,3,benchmark_emotional_human_v4,2026-05-03T11:49:25.020738,59,3,2,2,3,3,4,3,2,3,2,3,
18,VJ2Y-8NFF,blind-18,4,blind-18_VJ2Y-8NFF/round-04.json,session-c11c5768-532b-471a-a941-bdd5682bb2da,a2f023d9-c921-411b-856e-3e43a0a9e4ea,doubao/seed-2.0-pro,3,benchmark_emotional_human_v4,2026-05-03T17:36:52.799917,47,3,2,3,2,3,3,2,3,3,2,3,
